"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"KS","Kansas","41-2012","Gaming change persons and booth cashiers",NA,"100","10.13","21070"
"NM","New Mexico","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",NA,"100","10.21","21230"
"WI","Wisconsin","39-3019","Gaming service workers, all other",NA,"100","10.29","21400"
"VI","Virgin Islands","43-2011","Switchboard operators, including answering service",NA,"100","10.31","21450"
"WY","Wyoming","47-3016","Helpers--roofers",NA,"100","10.39","21600"
"OK","Oklahoma","51-9193","Cooling and freezing equipment operators and tenders",NA,"100","10.48","21790"
"VI","Virgin Islands","21-1093","Social and human service assistants",NA,"100","10.66","22170"
"WY","Wyoming","13-2082","Tax preparers",NA,"100","10.73","22320"
"KS","Kansas","51-4052","Pourers and casters, metal",NA,"100","10.78","22420"
"ID","Idaho","51-4035","Milling and planing machine setters, operators, and tenders, metal and plastic",NA,"100","11.02","22920"
"HI","Hawaii","39-2011","Animal trainers",NA,"100","11.07","23030"
"ND","North Dakota","45-4011","Forest and conservation workers",NA,"100","11.14","23160"
"MS","Mississippi","51-9131","Photographic process workers",NA,"100","11.21","23310"
"WV","West Virginia","51-9191","Cementing and gluing machine operators and tenders",NA,"100","11.30","23500"
"NH","New Hampshire","31-9095","Pharmacy aides",NA,"100","11.33","23580"
"NM","New Mexico","51-9131","Photographic process workers",NA,"100","11.34","23590"
"WY","Wyoming","27-3011","Radio and television announcers",NA,"100","11.34","23590"
"KY","Kentucky","33-3041","Parking enforcement workers",NA,"100","11.35","23610"
"WY","Wyoming","35-2019","Cooks, all other",NA,"100","11.36","23620"
"AR","Arkansas","29-2056","Veterinary technologists and technicians",NA,"100","11.43","23760"
"MS","Mississippi","39-6021","Tour guides and escorts",NA,"100","11.59","24120"
"VI","Virgin Islands","25-2011","Preschool teachers, except special education",NA,"100","11.60","24130"
"ID","Idaho","35-2019","Cooks, all other",NA,"100","11.62","24160"
"DC","District of Columbia","35-9099","Food preparation and serving related workers, all other",NA,"100","11.77","24480"
"TX","Texas","45-2099","Agricultural workers, all other",NA,"100","11.86","24670"
"DE","Delaware","51-9083","Ophthalmic laboratory technicians",NA,"100","11.91","24760"
"HI","Hawaii","51-9131","Photographic process workers",NA,"100","11.91","24770"
"ND","North Dakota","31-9093","Medical equipment preparers",NA,"100","11.91","24770"
"HI","Hawaii","21-2099","Religious workers, all other",NA,"100","12.00","24950"
"ND","North Dakota","43-9071","Office machine operators, except computer",NA,"100","12.08","25130"
"SD","South Dakota","31-9093","Medical equipment preparers",NA,"100","12.20","25370"
"AL","Alabama","49-9095","Manufactured building and mobile home installers",NA,"100","12.24","25460"
"ID","Idaho","31-9093","Medical equipment preparers",NA,"100","12.32","25630"
"DC","District of Columbia","51-6021","Pressers, textile, garment, and related materials",NA,"100","12.33","25650"
"KY","Kentucky","51-9194","Etchers and engravers",NA,"100","12.34","25670"
"SD","South Dakota","51-9192","Cleaning, washing, and metal pickling equipment operators and tenders",NA,"100","12.34","25670"
"WY","Wyoming","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",NA,"100","12.36","25700"
"OH","Ohio","31-2012","Occupational therapist aides",NA,"100","12.37","25730"
"ND","North Dakota","49-3053","Outdoor power equipment and other small engine mechanics",NA,"100","12.40","25800"
"MN","Minnesota","43-3041","Gaming cage workers",NA,"100","12.44","25870"
"MD","Maryland","51-6092","Fabric and apparel patternmakers",NA,"100","12.50","26000"
"ME","Maine","51-7099","Woodworkers, all other",NA,"100","12.55","26100"
"MT","Montana","47-3016","Helpers--roofers",NA,"100","12.57","26140"
"KY","Kentucky","51-7099","Woodworkers, all other",NA,"100","12.63","26260"
"AK","Alaska","51-9193","Cooling and freezing equipment operators and tenders",NA,"100","12.67","26360"
"TX","Texas","47-5051","Rock splitters, quarry",NA,"100","12.72","26460"
"NV","Nevada","51-9022","Grinding and polishing workers, hand",NA,"100","12.74","26500"
"WY","Wyoming","43-9011","Computer operators",NA,"100","12.88","26800"
"UT","Utah","51-4194","Tool grinders, filers, and sharpeners",NA,"100","12.95","26940"
"NH","New Hampshire","43-9081","Proofreaders and copy markers",NA,"100","13.00","27040"
"UT","Utah","49-2096","Electronic equipment installers and repairers, motor vehicles",NA,"100","13.09","27230"
"VT","Vermont","51-7099","Woodworkers, all other",NA,"100","13.09","27220"
"SC","South Carolina","39-2011","Animal trainers",NA,"100","13.11","27280"
"WV","West Virginia","45-4023","Log graders and scalers",NA,"100","13.11","27270"
"GA","Georgia","49-9061","Camera and photographic equipment repairers",NA,"100","13.16","27370"
"CT","Connecticut","51-6064","Textile winding, twisting, and drawing out machine setters, operators, and tenders",NA,"100","13.26","27590"
"SD","South Dakota","51-2011","Aircraft structure, surfaces, rigging, and systems assemblers",NA,"100","13.26","27580"
"VT","Vermont","51-7021","Furniture finishers",NA,"100","13.28","27630"
"RI","Rhode Island","51-9123","Painting, coating, and decorating workers",NA,"100","13.31","27690"
"WV","West Virginia","51-4194","Tool grinders, filers, and sharpeners",NA,"100","13.42","27900"
"UT","Utah","49-2092","Electric motor, power tool, and related repairers",NA,"100","13.45","27980"
"MI","Michigan","39-3092","Costume attendants",NA,"100","13.46","28000"
"NE","Nebraska","53-7031","Dredge operators",NA,"100","13.46","28000"
"WY","Wyoming","49-3052","Motorcycle mechanics",NA,"100","13.48","28040"
"HI","Hawaii","51-7042","Woodworking machine setters, operators, and tenders, except sawing",NA,"100","13.51","28100"
"AZ","Arizona","51-9191","Cementing and gluing machine operators and tenders",NA,"100","13.56","28200"
"VT","Vermont","45-4022","Logging equipment operators",NA,"100","13.61","28300"
"GA","Georgia","51-6092","Fabric and apparel patternmakers",NA,"100","13.73","28550"
"RI","Rhode Island","51-6052","Tailors, dressmakers, and custom sewers",NA,"100","13.74","28580"
"TX","Texas","51-7031","Model makers, wood",NA,"100","13.75","28600"
"WI","Wisconsin","51-6064","Textile winding, twisting, and drawing out machine setters, operators, and tenders",NA,"100","13.84","28790"
"CO","Colorado","51-4071","Foundry mold and coremakers",NA,"100","13.88","28880"
"MT","Montana","43-4011","Brokerage clerks",NA,"100","13.89","28890"
"MN","Minnesota","33-3041","Parking enforcement workers",NA,"100","13.92","28950"
"SD","South Dakota","49-3052","Motorcycle mechanics",NA,"100","14.00","29110"
"IN","Indiana","39-2011","Animal trainers",NA,"100","14.03","29180"
"GA","Georgia","51-4192","Lay-out workers, metal and plastic",NA,"100","14.11","29340"
"WV","West Virginia","51-4191","Heat treating equipment setters, operators, and tenders, metal and plastic",NA,"100","14.11","29360"
"DE","Delaware","49-2096","Electronic equipment installers and repairers, motor vehicles",NA,"100","14.12","29370"
"IN","Indiana","27-4014","Sound engineering technicians",NA,"100","14.16","29460"
"MS","Mississippi","51-4193","Plating and coating machine setters, operators, and tenders, metal and plastic",NA,"100","14.16","29450"
"NE","Nebraska","51-4035","Milling and planing machine setters, operators, and tenders, metal and plastic",NA,"100","14.19","29520"
"AK","Alaska","43-5111","Weighers, measurers, checkers, and samplers, recordkeeping",NA,"100","14.26","29650"
"IN","Indiana","27-1012","Craft artists",NA,"100","14.29","29730"
"MS","Mississippi","51-4071","Foundry mold and coremakers",NA,"100","14.31","29770"
"NM","New Mexico","49-3052","Motorcycle mechanics",NA,"100","14.34","29820"
"GA","Georgia","27-1012","Craft artists",NA,"100","14.35","29850"
"NV","Nevada","53-7011","Conveyor operators and tenders",NA,"100","14.36","29870"
"MN","Minnesota","27-4031","Camera operators, television, video, and motion picture",NA,"100","14.39","29930"
"SD","South Dakota","39-1011","Gaming supervisors",NA,"100","14.43","30010"
"NH","New Hampshire","51-4194","Tool grinders, filers, and sharpeners",NA,"100","14.46","30070"
"ME","Maine","51-4194","Tool grinders, filers, and sharpeners",NA,"100","14.48","30130"
"DE","Delaware","51-6052","Tailors, dressmakers, and custom sewers",NA,"100","14.54","30240"
"MI","Michigan","47-4031","Fence erectors",NA,"100","14.59","30340"
"KY","Kentucky","51-9082","Medical appliance technicians",NA,"100","14.63","30420"
"UT","Utah","29-2054","Respiratory therapy technicians",NA,"100","14.67","30520"
"ND","North Dakota","49-3022","Automotive glass installers and repairers",NA,"100","14.68","30520"
"LA","Louisiana","45-4021","Fallers",NA,"100","14.76","30690"
"DE","Delaware","49-9095","Manufactured building and mobile home installers",NA,"100","14.83","30850"
"WY","Wyoming","49-3041","Farm equipment mechanics",NA,"100","14.86","30910"
"MS","Mississippi","47-2022","Stonemasons",NA,"100","14.91","31020"
"CT","Connecticut","39-2011","Animal trainers",NA,"100","14.95","31090"
"DE","Delaware","49-3053","Outdoor power equipment and other small engine mechanics",NA,"100","14.95","31100"
"NC","North Carolina","47-2082","Tapers",NA,"100","14.97","31130"
"ME","Maine","49-3052","Motorcycle mechanics",NA,"100","15.11","31420"
"WV","West Virginia","21-1099","Community and social service specialists, all other",NA,"100","15.11","31440"
"FL","Florida","51-4051","Metal-refining furnace operators and tenders",NA,"100","15.13","31470"
"VT","Vermont","21-1099","Community and social service specialists, all other",NA,"100","15.14","31490"
"AR","Arkansas","47-2171","Reinforcing iron and rebar workers",NA,"100","15.16","31530"
"TX","Texas","21-2099","Religious workers, all other",NA,"100","15.23","31690"
"VI","Virgin Islands","51-9071","Jewelers and precious stone and metal workers",NA,"100","15.28","31780"
"SD","South Dakota","31-9011","Massage therapists",NA,"100","15.32","31870"
"SC","South Carolina","51-9194","Etchers and engravers",NA,"100","15.38","32000"
"PA","Pennsylvania","39-3092","Costume attendants",NA,"100","15.41","32040"
"ME","Maine","37-2021","Pest control workers",NA,"100","15.44","32120"
"UT","Utah","39-4021","Funeral attendants",NA,"100","15.44","32110"
"KS","Kansas","25-4012","Curators",NA,"100","15.47","32170"
"NM","New Mexico","53-6041","Traffic technicians",NA,"100","15.47","32180"
"SC","South Carolina","25-4013","Museum technicians and conservators",NA,"100","15.54","32330"
"OK","Oklahoma","49-2093","Electrical and electronics installers and repairers, transportation equipment",NA,"100","15.61","32470"
"KS","Kansas","51-9194","Etchers and engravers",NA,"100","15.62","32480"
"PR","Puerto Rico","27-4031","Camera operators, television, video, and motion picture",NA,"100","15.67","32600"
"IN","Indiana","19-4093","Forest and conservation technicians",NA,"100","15.78","32820"
"NY","New York","47-2043","Floor sanders and finishers",NA,"100","15.79","32850"
"ME","Maine","19-4061","Social science research assistants",NA,"100","16.00","33270"
"ME","Maine","51-4032","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",NA,"100","16.05","33380"
"ND","North Dakota","51-9051","Furnace, kiln, oven, drier, and kettle operators and tenders",NA,"100","16.07","33430"
"NV","Nevada","51-4022","Forging machine setters, operators, and tenders, metal and plastic",NA,"100","16.15","33600"
"NH","New Hampshire","49-3092","Recreational vehicle service technicians",NA,"100","16.15","33600"
"OH","Ohio","53-7031","Dredge operators",NA,"100","16.16","33610"
"OR","Oregon","51-9082","Medical appliance technicians",NA,"100","16.25","33790"
"DC","District of Columbia","41-9011","Demonstrators and product promoters",NA,"100","16.26","33830"
"NV","Nevada","51-6093","Upholsterers",NA,"100","16.30","33910"
"SD","South Dakota","27-1021","Commercial and industrial designers",NA,"100","16.30","33910"
"PR","Puerto Rico","23-1022","Arbitrators, mediators, and conciliators",NA,"100","16.32","33950"
"NY","New York","39-6022","Travel guides",NA,"100","16.49","34300"
"MI","Michigan","45-4023","Log graders and scalers",NA,"100","16.52","34350"
"DC","District of Columbia","27-4032","Film and video editors",NA,"100","16.54","34400"
"CO","Colorado","49-3051","Motorboat mechanics",NA,"100","16.55","34430"
"ME","Maine","29-1125","Recreational therapists",NA,"100","16.59","34500"
"WY","Wyoming","29-2055","Surgical technologists",NA,"100","16.62","34560"
"AZ","Arizona","53-7121","Tank car, truck, and ship loaders",NA,"100","16.64","34610"
"AL","Alabama","23-2092","Law clerks",NA,"100","16.69","34720"
"GU","Guam","37-1012","First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",NA,"100","16.84","35020"
"IN","Indiana","25-4011","Archivists",NA,"100","16.85","35040"
"MI","Michigan","51-2093","Timing device assemblers, adjusters, and calibrators",NA,"100","16.87","35100"
"NH","New Hampshire","51-4051","Metal-refining furnace operators and tenders",NA,"100","16.90","35150"
"SD","South Dakota","27-1014","Multi-media artists and animators",NA,"100","16.91","35180"
"NJ","New Jersey","19-4061","Social science research assistants",NA,"100","16.95","35250"
"MT","Montana","45-4023","Log graders and scalers",NA,"100","16.98","35310"
"WV","West Virginia","29-1125","Recreational therapists",NA,"100","17.02","35410"
"ME","Maine","23-2093","Title examiners, abstractors, and searchers",NA,"100","17.10","35570"
"OR","Oregon","43-9081","Proofreaders and copy markers",NA,"100","17.14","35650"
"ID","Idaho","47-2132","Insulation workers, mechanical",NA,"100","17.19","35760"
"MS","Mississippi","25-9099","Education, training, and library workers, all other",NA,"100","17.24","35850"
"WY","Wyoming","43-3061","Procurement clerks",NA,"100","17.24","35860"
"AR","Arkansas","47-2044","Tile and marble setters",NA,"100","17.31","36010"
"ME","Maine","49-9094","Locksmiths and safe repairers",NA,"100","17.39","36160"
"NV","Nevada","53-1011","Aircraft cargo handling supervisors",NA,"100","17.43","36250"
"NC","North Carolina","21-1019","Counselors, all other",NA,"100","17.46","36320"
"MD","Maryland","49-9063","Musical instrument repairers and tuners",NA,"100","17.57","36540"
"ID","Idaho","51-8021","Stationary engineers and boiler operators",NA,"100","17.59","36600"
"CT","Connecticut","51-9051","Furnace, kiln, oven, drier, and kettle operators and tenders",NA,"100","17.62","36650"
"KY","Kentucky","47-2142","Paperhangers",NA,"100","17.69","36800"
"IA","Iowa","47-2161","Plasterers and stucco masons",NA,"100","17.79","37010"
"DE","Delaware","49-3041","Farm equipment mechanics",NA,"100","17.83","37080"
"RI","Rhode Island","47-3011","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",NA,"100","17.88","37200"
"SD","South Dakota","21-2011","Clergy",NA,"100","18.13","37710"
"RI","Rhode Island","49-9096","Riggers",NA,"100","18.20","37860"
"MS","Mississippi","23-2091","Court reporters",NA,"100","18.39","38250"
"NM","New Mexico","23-1023","Judges, magistrate judges, and magistrates",NA,"100","18.48","38430"
"MT","Montana","33-3031","Fish and game wardens",NA,"100","18.55","38570"
"NE","Nebraska","51-4012","Numerical tool and process control programmers",NA,"100","18.60","38680"
"UT","Utah","53-7072","Pump operators, except wellhead pumpers",NA,"100","18.60","38690"
"MI","Michigan","53-6011","Bridge and lock tenders",NA,"100","18.61","38710"
"TN","Tennessee","51-2011","Aircraft structure, surfaces, rigging, and systems assemblers",NA,"100","18.61","38710"
"SC","South Carolina","49-3043","Rail car repairers",NA,"100","18.63","38750"
"SD","South Dakota","21-1013","Marriage and family therapists",NA,"100","18.77","39050"
"PA","Pennsylvania","49-9096","Riggers",NA,"100","18.80","39110"
"ND","North Dakota","49-9043","Maintenance workers, machinery",NA,"100","18.83","39170"
"WY","Wyoming","17-3025","Environmental engineering technicians",NA,"100","18.92","39360"
"OR","Oregon","27-1019","Artists and related workers, all other",NA,"100","18.98","39480"
"HI","Hawaii","29-2081","Opticians, dispensing",NA,"100","19.05","39630"
"WV","West Virginia","33-1021","First-line supervisors/managers of fire fighting and prevention workers",NA,"100","19.23","40000"
"NV","Nevada","51-9051","Furnace, kiln, oven, drier, and kettle operators and tenders",NA,"100","19.28","40100"
"VT","Vermont","17-1012","Landscape architects",NA,"100","19.35","40250"
"WY","Wyoming","49-2092","Electric motor, power tool, and related repairers",NA,"100","19.38","40310"
"WV","West Virginia","53-4013","Rail yard engineers, dinkey operators, and hostlers",NA,"100","19.41","40380"
"AK","Alaska","29-2081","Opticians, dispensing",NA,"100","19.49","40540"
"IN","Indiana","19-4061","Social science research assistants",NA,"100","19.55","40670"
"ND","North Dakota","27-2012","Producers and directors",NA,"100","19.59","40760"
"VT","Vermont","31-2021","Physical therapist assistants",NA,"100","19.62","40810"
"NJ","New Jersey","51-6092","Fabric and apparel patternmakers",NA,"100","19.84","41280"
"IL","Illinois","27-4013","Radio operators",NA,"100","19.99","41570"
"WV","West Virginia","39-4011","Embalmers",NA,"100","20.01","41620"
"NH","New Hampshire","51-4012","Numerical tool and process control programmers",NA,"100","20.14","41880"
"RI","Rhode Island","51-4012","Numerical tool and process control programmers",NA,"100","20.16","41920"
"MO","Missouri","51-9082","Medical appliance technicians",NA,"100","20.17","41950"
"DE","Delaware","53-7032","Excavating and loading machine and dragline operators",NA,"100","20.18","41970"
"NH","New Hampshire","49-9031","Home appliance repairers",NA,"100","20.23","42080"
"RI","Rhode Island","43-9081","Proofreaders and copy markers",NA,"100","20.35","42320"
"WY","Wyoming","53-7021","Crane and tower operators",NA,"100","20.37","42380"
"IA","Iowa","49-9063","Musical instrument repairers and tuners",NA,"100","20.38","42390"
"UT","Utah","49-2093","Electrical and electronics installers and repairers, transportation equipment",NA,"100","20.39","42410"
"CT","Connecticut","29-2054","Respiratory therapy technicians",NA,"100","20.62","42890"
"KS","Kansas","19-1022","Microbiologists",NA,"100","20.72","43090"
"NC","North Carolina","23-1022","Arbitrators, mediators, and conciliators",NA,"100","20.75","43170"
"MT","Montana","19-4041","Geological and petroleum technicians",NA,"100","20.82","43300"
"CA","California","53-6011","Bridge and lock tenders",NA,"100","20.89","43460"
"WA","Washington","49-9061","Camera and photographic equipment repairers",NA,"100","20.90","43470"
"MI","Michigan","53-7071","Gas compressor and gas pumping station operators",NA,"100","20.94","43560"
"MA","Massachusetts","53-4021","Railroad brake, signal, and switch operators",NA,"100","21.25","44190"
"ND","North Dakota","49-9044","Millwrights",NA,"100","21.30","44300"
"IA","Iowa","27-1019","Artists and related workers, all other",NA,"100","21.36","44420"
"MS","Mississippi","13-1032","Insurance appraisers, auto damage",NA,"100","21.48","44680"
"GA","Georgia","21-1013","Marriage and family therapists",NA,"100","21.72","45180"
"MA","Massachusetts","53-7072","Pump operators, except wellhead pumpers",NA,"100","21.73","45190"
"IN","Indiana","19-1032","Foresters",NA,"100","21.98","45720"
"CO","Colorado","47-4061","Rail-track laying and maintenance equipment operators",NA,"100","21.99","45730"
"NJ","New Jersey","53-6041","Traffic technicians",NA,"100","22.19","46150"
"MN","Minnesota","49-9096","Riggers",NA,"100","22.36","46500"
"NC","North Carolina","51-8093","Petroleum pump system operators, refinery operators, and gaugers",NA,"100","22.38","46550"
"OH","Ohio","47-5061","Roof bolters, mining",NA,"100","22.42","46630"
"NH","New Hampshire","21-1029","Social workers, all other",NA,"100","22.48","46770"
"NJ","New Jersey","33-2022","Forest fire inspectors and prevention specialists",NA,"100","22.57","46940"
"DC","District of Columbia","49-9043","Maintenance workers, machinery",NA,"100","22.68","47170"
"RI","Rhode Island","49-9012","Control and valve installers and repairers, except mechanical door",NA,"100","22.76","47330"
"ID","Idaho","51-8091","Chemical plant and system operators",NA,"100","22.91","47660"
"CT","Connecticut","51-4061","Model makers, metal and plastic",NA,"100","23.16","48170"
"KS","Kansas","33-3031","Fish and game wardens",NA,"100","23.50","48870"
"IA","Iowa","49-9097","Signal and track switch repairers",NA,"100","23.56","49010"
"NV","Nevada","51-4051","Metal-refining furnace operators and tenders",NA,"100","23.69","49280"
"NH","New Hampshire","17-3024","Electro-mechanical technicians",NA,"100","23.74","49380"
"AL","Alabama","27-1029","Designers, all other",NA,"100","23.79","49490"
"AL","Alabama","53-5031","Ship engineers",NA,"100","23.93","49780"
"DE","Delaware","31-2011","Occupational therapist assistants",NA,"100","24.21","50360"
"MN","Minnesota","49-2021","Radio mechanics",NA,"100","24.25","50430"
"DC","District of Columbia","19-4011","Agricultural and food science technicians",NA,"100","24.31","50560"
"NV","Nevada","27-1029","Designers, all other",NA,"100","24.46","50880"
"PR","Puerto Rico","19-3039","Psychologists, all other",NA,"100","24.75","51470"
"ID","Idaho","13-1061","Emergency management specialists",NA,"100","24.77","51530"
"NM","New Mexico","27-1011","Art directors",NA,"100","24.89","51770"
"NV","Nevada","49-2094","Electrical and electronics repairers, commercial and industrial equipment",NA,"100","25.03","52070"
"MO","Missouri","19-1041","Epidemiologists",NA,"100","25.12","52240"
"CO","Colorado","29-9012","Occupational health and safety technicians",NA,"100","25.14","52290"
"PR","Puerto Rico","11-9081","Lodging managers",NA,"100","25.16","52340"
"KY","Kentucky","13-1032","Insurance appraisers, auto damage",NA,"100","25.20","52420"
"OR","Oregon","29-1129","Therapists, all other",NA,"100","25.22","52450"
"UT","Utah","29-1121","Audiologists",NA,"100","25.64","53330"
"RI","Rhode Island","21-1029","Social workers, all other",NA,"100","25.67","53380"
"OR","Oregon","47-2072","Pile-driver operators",NA,"100","25.76","53570"
"RI","Rhode Island","39-4011","Embalmers",NA,"100","25.81","53680"
"KS","Kansas","33-2021","Fire inspectors and investigators",NA,"100","25.88","53830"
"GA","Georgia","19-1011","Animal scientists",NA,"100","26.01","54090"
"SD","South Dakota","17-3029","Engineering technicians, except drafters, all other",NA,"100","26.16","54400"
"AK","Alaska","29-1031","Dietitians and nutritionists",NA,"100","26.20","54490"
"HI","Hawaii","47-2022","Stonemasons",NA,"100","26.20","54500"
"VT","Vermont","19-1031","Conservation scientists",NA,"100","26.31","54730"
"CO","Colorado","13-1061","Emergency management specialists",NA,"100","26.32","54750"
"NC","North Carolina","19-1012","Food scientists and technologists",NA,"100","26.33","54770"
"LA","Louisiana","17-2031","Biomedical engineers",NA,"100","26.67","55470"
"AK","Alaska","49-2098","Security and fire alarm systems installers",NA,"100","26.89","55920"
"AK","Alaska","17-1021","Cartographers and photogrammetrists",NA,"100","27.25","56680"
"OR","Oregon","27-4014","Sound engineering technicians",NA,"100","27.26","56700"
"NV","Nevada","29-1129","Therapists, all other",NA,"100","27.27","56730"
"DE","Delaware","27-3042","Technical writers",NA,"100","27.44","57070"
"RI","Rhode Island","29-2031","Cardiovascular technologists and technicians",NA,"100","27.44","57080"
"IN","Indiana","13-1011","Agents and business managers of artists, performers, and athletes",NA,"100","27.47","57150"
"NM","New Mexico","29-9012","Occupational health and safety technicians",NA,"100","27.54","57290"
"NJ","New Jersey","13-1021","Purchasing agents and buyers, farm products",NA,"100","27.61","57440"
"AK","Alaska","51-8021","Stationary engineers and boiler operators",NA,"100","27.68","57570"
"ND","North Dakota","19-3021","Market research analysts",NA,"100","28.02","58290"
"ND","North Dakota","19-2031","Chemists",NA,"100","28.05","58350"
"KS","Kansas","19-3039","Psychologists, all other",NA,"100","28.31","58880"
"ND","North Dakota","29-9011","Occupational health and safety specialists",NA,"100","28.34","58940"
"VT","Vermont","11-9061","Funeral directors",NA,"100","28.37","59010"
"AR","Arkansas","19-3099","Social scientists and related workers, all other",NA,"100","28.70","59690"
"NH","New Hampshire","49-2095","Electrical and electronics repairers, powerhouse, substation, and relay",NA,"100","28.80","59890"
"NH","New Hampshire","29-1129","Therapists, all other",NA,"100","28.93","60170"
"MS","Mississippi","41-9021","Real estate brokers",NA,"100","29.00","60330"
"MN","Minnesota","19-1011","Animal scientists",NA,"100","29.12","60560"
"HI","Hawaii","17-1012","Landscape architects",NA,"100","29.15","60640"
"OR","Oregon","13-1061","Emergency management specialists",NA,"100","29.60","61570"
"HI","Hawaii","27-1025","Interior designers",NA,"100","29.72","61820"
"MT","Montana","17-2111","Health and safety engineers, except mining safety engineers and inspectors",NA,"100","29.76","61900"
"NM","New Mexico","19-1023","Zoologists and wildlife biologists",NA,"100","29.79","61960"
"DE","Delaware","19-1022","Microbiologists",NA,"100","29.82","62020"
"KY","Kentucky","19-1012","Food scientists and technologists",NA,"100","29.87","62120"
"DE","Delaware","11-9081","Lodging managers",NA,"100","29.97","62330"
"KS","Kansas","19-2021","Atmospheric and space scientists",NA,"100","30.57","63580"
"AK","Alaska","11-3051","Industrial production managers",NA,"100","30.60","63640"
"SC","South Carolina","19-2012","Physicists",NA,"100","30.60","63640"
"ME","Maine","53-4011","Locomotive engineers",NA,"100","30.69","63840"
"FL","Florida","19-3041","Sociologists",NA,"100","31.28","65060"
"WY","Wyoming","13-2031","Budget analysts",NA,"100","31.28","65070"
"SD","South Dakota","11-9039","Education administrators, all other",NA,"100","31.30","65100"
"OR","Oregon","19-2032","Materials scientists",NA,"100","31.44","65400"
"UT","Utah","19-1021","Biochemists and biophysicists",NA,"100","31.49","65510"
"AK","Alaska","19-3091","Anthropologists and archeologists",NA,"100","31.74","66010"
"CT","Connecticut","19-1099","Life scientists, all other",NA,"100","31.95","66450"
"VT","Vermont","41-9031","Sales engineers",NA,"100","31.97","66490"
"MO","Missouri","29-2091","Orthotists and prosthetists",NA,"100","32.05","66660"
"NJ","New Jersey","19-4051","Nuclear technicians",NA,"100","32.55","67700"
"TN","Tennessee","17-2021","Agricultural engineers",NA,"100","32.62","67840"
"OH","Ohio","17-2021","Agricultural engineers",NA,"100","33.08","68800"
"OH","Ohio","17-2151","Mining and geological engineers, including mining safety engineers",NA,"100","33.31","69290"
"NY","New York","19-3091","Anthropologists and archeologists",NA,"100","33.68","70050"
"MN","Minnesota","17-2011","Aerospace engineers",NA,"100","34.17","71080"
"AR","Arkansas","19-3039","Psychologists, all other",NA,"100","34.19","71120"
"NM","New Mexico","23-1021","Administrative law judges, adjudicators, and hearing officers",NA,"100","34.48","71710"
"HI","Hawaii","17-2061","Computer hardware engineers",NA,"100","34.64","72040"
"KY","Kentucky","19-2099","Physical scientists, all other",NA,"100","34.80","72390"
"PR","Puerto Rico","29-1021","Dentists, general",NA,"100","34.80","72380"
"CT","Connecticut","19-1013","Soil and plant scientists",NA,"100","34.91","72620"
"NJ","New Jersey","27-3021","Broadcast news analysts",NA,"100","34.92","72630"
"KS","Kansas","15-1011","Computer and information scientists, research",NA,"100","35.76","74380"
"MI","Michigan","11-9071","Gaming managers",NA,"100","35.84","74540"
"ND","North Dakota","11-3061","Purchasing managers",NA,"100","36.10","75090"
"MD","Maryland","51-8011","Nuclear power reactor operators",NA,"100","36.68","76300"
"NJ","New Jersey","23-1022","Arbitrators, mediators, and conciliators",NA,"100","36.95","76860"
"NE","Nebraska","19-3011","Economists",NA,"100","37.01","76980"
"CT","Connecticut","29-1124","Radiation therapists",NA,"100","37.21","77390"
"MS","Mississippi","29-1199","Health diagnosing and treating practitioners, all other",NA,"100","37.31","77600"
"PR","Puerto Rico","13-2052","Personal financial advisors",NA,"100","37.51","78010"
"VT","Vermont","17-2199","Engineers, all other",NA,"100","37.67","78360"
"NJ","New Jersey","17-2121","Marine engineers and naval architects",NA,"100","37.99","79030"
"AL","Alabama","17-2151","Mining and geological engineers, including mining safety engineers",NA,"100","38.55","80190"
"MI","Michigan","27-3021","Broadcast news analysts",NA,"100","38.61","80300"
"IL","Illinois","27-3021","Broadcast news analysts",NA,"100","38.77","80640"
"NH","New Hampshire","11-9121","Natural sciences managers",NA,"100","40.01","83230"
"IA","Iowa","53-2021","Air traffic controllers",NA,"100","40.06","83320"
"UT","Utah","19-2021","Atmospheric and space scientists",NA,"100","40.11","83420"
"DC","District of Columbia","29-1041","Optometrists",NA,"100","40.43","84100"
"NY","New York","15-2021","Mathematicians",NA,"100","41.86","87070"
"CT","Connecticut","19-2032","Materials scientists",NA,"100","42.46","88310"
"NH","New Hampshire","11-3042","Training and development managers",NA,"100","43.00","89440"
"RI","Rhode Island","11-3042","Training and development managers",NA,"100","43.14","89730"
"IN","Indiana","15-1011","Computer and information scientists, research",NA,"100","43.17","89790"
"CT","Connecticut","19-3039","Psychologists, all other",NA,"100","44.37","92280"
"WV","West Virginia","29-1041","Optometrists",NA,"100","44.84","93270"
"AL","Alabama","19-2099","Physical scientists, all other",NA,"100","45.20","94010"
"KY","Kentucky","15-1011","Computer and information scientists, research",NA,"100","45.53","94710"
"DC","District of Columbia","17-2041","Chemical engineers",NA,"100","45.75","95160"
"MO","Missouri","19-2012","Physicists",NA,"100","49.40","102750"
