"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"CT","Connecticut","17-2041","Chemical engineers",NA,"190","40.44","84120"
"OH","Ohio","19-2021","Atmospheric and space scientists",NA,"190","41.04","85370"
"MA","Massachusetts","19-1099","Life scientists, all other",NA,"190","41.25","85810"
"VA","Virginia","19-2032","Materials scientists",NA,"190","41.60","86540"
"SD","South Dakota","11-9033","Education administrators, postsecondary",NA,"190","41.74","86820"
"MA","Massachusetts","53-2021","Air traffic controllers",NA,"190","42.07","87500"
"ID","Idaho","11-9039","Education administrators, all other",NA,"190","42.44","88280"
"WA","Washington","15-2011","Actuaries",NA,"190","43.02","89480"
"CT","Connecticut","29-1011","Chiropractors",NA,"190","43.98","91470"
"WV","West Virginia","17-2171","Petroleum engineers",NA,"190","45.26","94130"
"MA","Massachusetts","27-3021","Broadcast news analysts",NA,"190","45.42","94480"
"SD","South Dakota","11-3021","Computer and information systems managers",NA,"190","45.93","95540"
"SC","South Carolina","29-1199","Health diagnosing and treating practitioners, all other",NA,"190","46.72","97170"
"KS","Kansas","11-9121","Natural sciences managers",NA,"190","49.18","102290"
"NE","Nebraska","11-3049","Human resources managers, all other",NA,"190","49.18","102290"
"HI","Hawaii","11-9121","Natural sciences managers",NA,"190","50.01","104020"
"NE","Nebraska","29-1011","Chiropractors",NA,"190","50.36","104760"
"NV","Nevada","29-1041","Optometrists",NA,"190","51.81","107760"
"OK","Oklahoma","17-2151","Mining and geological engineers, including mining safety engineers",NA,"190","52.25","108690"
"NY","New York","19-3032","Industrial-organizational psychologists",NA,"190","54.66","113700"
"MA","Massachusetts","29-1081","Podiatrists",NA,"190","55.48","115400"
"WY","Wyoming","39-3031","Ushers, lobby attendants, and ticket takers",NA,"190","6.45","13410"
"GU","Guam","35-9031","Hosts and hostesses, restaurant, lounge, and coffee shop",NA,"190","6.96","14480"
"PR","Puerto Rico","41-9091","Door-to-door sales workers, news and street vendors, and related workers",NA,"190","6.99","14530"
"AZ","Arizona","19-3039","Psychologists, all other",NA,"190","61.50","127930"
"PR","Puerto Rico","51-7042","Woodworking machine setters, operators, and tenders, except sawing",NA,"190","7.06","14680"
"MS","Mississippi","29-1065","Pediatricians, general",NA,"190","73.21","152270"
"PR","Puerto Rico","27-4013","Radio operators",NA,"190","8.15","16950"
"WV","West Virginia","53-6021","Parking lot attendants",NA,"190","8.23","17120"
